model,param1,value1,param2,value2,deltaB_FIRAS,deltaB_over_Bcmb,compatible
log_sigmoid,lambda_c_m,1.8442627085855327e-07,sharpness,2.0,1.0423531274228459e-08,1.359000166131481e-07,True
log_sigmoid,lambda_c_m,1.8442627085855327e-07,sharpness,4.0,1.429412144204889e-15,1.863640344465305e-14,True
log_sigmoid,lambda_c_m,1.8442627085855327e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.8442627085855327e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.8442627085855327e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.133604526501411e-07,sharpness,2.0,1.3950736371670658e-08,1.8188704526298118e-07,True
log_sigmoid,lambda_c_m,2.133604526501411e-07,sharpness,4.0,2.55351295663786e-15,3.3292215862292825e-14,True
log_sigmoid,lambda_c_m,2.133604526501411e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.133604526501411e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.133604526501411e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.468340467068651e-07,sharpness,2.0,1.867150749290669e-08,2.4343556053333366e-07,True
log_sigmoid,lambda_c_m,2.468340467068651e-07,sharpness,4.0,4.565792188770956e-15,5.952792944942576e-14,True
log_sigmoid,lambda_c_m,2.468340467068651e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.468340467068651e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.468340467068651e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.855592301990112e-07,sharpness,2.0,2.4989733574121153e-08,3.25811389493105e-07,True
log_sigmoid,lambda_c_m,2.855592301990112e-07,sharpness,4.0,8.174017018802715e-15,1.0657127795049171e-13,True
log_sigmoid,lambda_c_m,2.855592301990112e-07,sharpness,8.0,0.0,0.0,True
