zHD,MU_SH0ES,MU_SH0ES_ERR_DIAG,c,USED_IN_SH0ES_HF,mu_lcdm,residual,cz,zbin
0.02819,35.3174,0.173415,-0.080131,1,35.45555674885619,-0.1381567488561899,-0.0022588928899999997,"(0.0276, 0.0333]"
0.0282,35.2874,0.292934,0.033306,1,35.45634305608481,-0.16894305608481375,0.0009392292,"(0.0276, 0.0333]"
0.02823,35.5061,0.163093,-0.010084,1,35.458700338776225,0.04739966122377837,-0.00028467132,"(0.0276, 0.0333]"
0.02823,35.5563,0.160218,-0.018126,1,35.458700338776225,0.09759966122377506,-0.0005116969800000001,"(0.0276, 0.0333]"
0.02823,35.558,0.160985,-0.022145,1,35.458700338776225,0.09929966122377465,-0.00062515335,"(0.0276, 0.0333]"
0.02844,35.372,0.160301,-0.08227,1,35.475132883749026,-0.1031328837490264,-0.0023397587999999998,"(0.0276, 0.0333]"
0.02844,35.3421,0.156527,-0.069418,1,35.475132883749026,-0.13303288374902422,-0.00197424792,"(0.0276, 0.0333]"
0.02849,35.4368,0.180322,-0.092002,1,35.47902786275763,-0.04222786275763468,-0.00262113698,"(0.0276, 0.0333]"
0.02849,35.2913,0.178243,-0.065509,1,35.47902786275763,-0.1877278627576331,-0.0018663514100000001,"(0.0276, 0.0333]"
0.02849,35.359,0.180243,-0.070904,1,35.47902786275763,-0.120027862757631,-0.00202005496,"(0.0276, 0.0333]"
0.02866,35.3449,0.211378,0.004586,1,35.4922208593063,-0.1473208593062978,0.00013143476,"(0.0276, 0.0333]"
0.02873,34.9487,0.227749,0.08478,1,35.49763099133436,-0.548930991334359,0.0024357294,"(0.0276, 0.0333]"
0.02902,35.0558,0.218663,0.053166,1,35.51990764154147,-0.46410764154147444,0.00154287732,"(0.0276, 0.0333]"
0.02913,35.5152,0.250819,0.042514,1,35.52830039082289,-0.013100390822891939,0.00123843282,"(0.0276, 0.0333]"
0.02915,35.6948,0.183345,-0.099116,1,35.529823008579434,0.16497699142056632,-0.0028892313999999996,"(0.0276, 0.0333]"
0.02917,35.2391,0.185823,0.006798,1,35.531344603190455,-0.2922446031904542,0.00019829766000000002,"(0.0276, 0.0333]"
0.02938,35.472,0.225755,0.064272,1,35.54725992499152,-0.07525992499152068,0.0018883113599999998,"(0.0276, 0.0333]"
0.02947,35.0939,0.272694,-0.007815,1,35.55404669095643,-0.4601466909564351,-0.00023030805000000002,"(0.0276, 0.0333]"
0.02949,35.6079,0.224233,-0.034882,1,35.555552103873254,0.05234789612674717,-0.0010286701800000001,"(0.0276, 0.0333]"
0.0295,35.3638,0.283742,0.086425,1,35.55630443535572,-0.1925044353557226,0.0025495375,"(0.0276, 0.0333]"
0.02978,35.5015,0.190369,-0.087344,1,35.577268928812735,-0.07576892881273523,-0.0026011043200000004,"(0.0276, 0.0333]"
0.0299,35.4354,0.185335,-0.062035,1,35.58619467814305,-0.15079467814305048,-0.0018548465,"(0.0276, 0.0333]"
0.03012,35.5195,0.196088,0.038781,1,35.60246782331589,-0.08296782331589014,0.00116808372,"(0.0276, 0.0333]"
0.03012,35.4838,0.199296,0.052068,1,35.60246782331589,-0.11866782331588865,0.0015682881600000002,"(0.0276, 0.0333]"
0.03012,35.4761,0.233488,0.071029,1,35.60246782331589,-0.12636782331588847,0.00213939348,"(0.0276, 0.0333]"
0.03031,35.5542,0.216273,-0.016333,1,35.61642851838427,-0.06222851838426635,-0.00049505323,"(0.0276, 0.0333]"
0.03083,35.4648,0.278746,0.054686,1,35.654203091972896,-0.18940309197289906,0.0016859693799999998,"(0.0276, 0.0333]"
0.03091,35.4926,0.166476,-0.069695,1,35.659959149876485,-0.16735914987648215,-0.00215427245,"(0.0276, 0.0333]"
0.03114,35.67,0.236835,0.040009,1,35.67642696867234,-0.006426968672336386,0.00124588026,"(0.0276, 0.0333]"
0.03114,35.5409,0.184896,0.033608,1,35.67642696867234,-0.1355269686723375,0.00104655312,"(0.0276, 0.0333]"
0.03116,35.5877,0.169094,-0.027281,1,35.67785332342601,-0.09015332342600857,-0.00085007596,"(0.0276, 0.0333]"
0.0312,35.4957,0.175954,-0.056702,1,35.68070334752309,-0.185003347523093,-0.0017691024,"(0.0276, 0.0333]"
0.0312,35.5793,0.14868,-0.102398,1,35.68070334752309,-0.10140334752308888,-0.0031948175999999997,"(0.0276, 0.0333]"
0.0312,35.4841,0.153803,-0.054047,1,35.68070334752309,-0.19660334752309438,-0.0016862663999999998,"(0.0276, 0.0333]"
0.03143,35.6461,0.196214,0.011862,1,35.697021928972475,-0.05092192897247827,0.00037282266,"(0.0276, 0.0333]"
0.03143,35.5602,0.185563,-0.102111,1,35.697021928972475,-0.13682192897247347,-0.0032093487299999996,"(0.0276, 0.0333]"
0.03148,35.7017,0.164289,-0.057822,1,35.70055398382667,0.0011460161733296559,-0.00182023656,"(0.0276, 0.0333]"
0.03148,35.707,0.22057,-0.082751,1,35.70055398382667,0.006446016173327962,-0.0026050014800000003,"(0.0276, 0.0333]"
0.03162,35.6474,0.19424,0.03606,1,35.710414618406666,-0.06301461840666889,0.0011402172,"(0.0276, 0.0333]"
0.03162,35.6847,0.188076,0.023112,1,35.710414618406666,-0.025714618406667,0.0007308014400000001,"(0.0276, 0.0333]"
0.03166,35.7279,0.17805,0.013262,1,35.71322409891299,0.01467590108700989,0.00041987492,"(0.0276, 0.0333]"
0.03192,35.4592,0.276064,-0.039578,1,35.731401531329865,-0.2722015313298627,-0.0012633297599999999,"(0.0276, 0.0333]"
0.03201,35.4896,0.148675,-0.106375,1,35.73765999578673,-0.24805999578672555,-0.0034050637499999994,"(0.0276, 0.0333]"
0.03236,35.6746,0.20211,-0.031578,1,35.76183598159588,-0.08723598159588164,-0.00102186408,"(0.0276, 0.0333]"
0.03255,35.576,0.196814,-0.0745,1,35.7748532340213,-0.19885323402129984,-0.0024249750000000002,"(0.0276, 0.0333]"
0.03264,35.8808,0.19004,0.044949,1,35.7809933942885,0.09980660571149969,0.0014671353600000001,"(0.0276, 0.0333]"
0.03264,35.9082,0.198168,-0.055939,1,35.7809933942885,0.12720660571149978,-0.0018258489600000002,"(0.0276, 0.0333]"
0.03282,35.6329,0.204026,-0.028927,1,35.79322421937272,-0.16032421937271835,-0.0009493841400000001,"(0.0276, 0.0333]"
0.03289,35.8381,0.178659,-0.115009,1,35.79796295180963,0.0401370481903669,-0.00378264601,"(0.0276, 0.0333]"
0.0329,35.7248,0.15355,-0.08068,1,35.798639108726356,-0.07383910872635369,-0.002654372,"(0.0276, 0.0333]"
0.03296,35.7324,0.22019,0.027296,1,35.80269183667198,-0.07029183667198424,0.0008996761600000001,"(0.0276, 0.0333]"
0.03296,35.8907,0.225741,0.021543,1,35.80269183667198,0.08800816332801986,0.00071005728,"(0.0276, 0.0333]"
0.03333,35.7268,0.162633,-0.130539,1,35.82752545306401,-0.10072545306401537,-0.004350864869999999,"(0.0276, 0.0333]"
0.03335,35.8159,0.198961,0.028141,1,35.8288601243807,-0.01296012438069738,0.0009385023499999999,"(0.0333, 0.0439]"
0.03341,35.8647,0.150987,-0.098536,1,35.832859450770684,0.03184054922931523,-0.00329208776,"(0.0333, 0.0439]"
0.03341,35.8516,0.143619,-0.126797,1,35.832859450770684,0.018740549229313785,-0.00423628777,"(0.0333, 0.0439]"
0.03371,35.7797,0.159699,-0.069085,1,35.85275140636133,-0.0730514063613299,-0.0023288553499999994,"(0.0333, 0.0439]"
0.03373,35.829,0.273673,0.15241,1,35.8540713803081,-0.025071380308098412,0.0051407893,"(0.0333, 0.0439]"
0.03375,36.0229,0.243018,0.048082,1,35.85539058986904,0.1675094101309611,0.0016227675000000002,"(0.0333, 0.0439]"
0.03378,35.8276,0.259126,0.09667,1,35.857367972965385,-0.029767972965387912,0.0032655126,"(0.0333, 0.0439]"
0.03393,35.9089,0.177213,0.023002,1,35.86722922728555,0.041670772714454074,0.0007804578600000001,"(0.0333, 0.0439]"
0.03428,35.9188,0.207416,0.065043,1,35.89007421642644,0.02872578357355593,0.00222967404,"(0.0333, 0.0439]"
0.03428,35.9378,0.211316,0.071739,1,35.89007421642644,0.04772578357356139,0.00245921292,"(0.0333, 0.0439]"
0.03437,35.7837,0.217075,0.054822,1,35.89591182152717,-0.11221182152716835,0.0018842321399999999,"(0.0333, 0.0439]"
0.03459,35.7348,0.155656,-0.019262,1,35.91011891748619,-0.17531891748618733,-0.00066627258,"(0.0333, 0.0439]"
0.03479,35.8566,0.205773,0.058669,1,35.92295810468462,-0.06635810468461756,0.00204109451,"(0.0333, 0.0439]"
0.03512,35.8816,0.169326,-0.085933,1,35.94398605170579,-0.06238605170579348,-0.0030179669599999996,"(0.0333, 0.0439]"
0.03515,35.8937,0.211664,-0.052286,1,35.94588810924645,-0.052188109246444014,-0.0018378529,"(0.0333, 0.0439]"
0.03529,35.861,0.1686,-0.052529,1,35.95474347890979,-0.09374347890979351,-0.00185374841,"(0.0333, 0.0439]"
0.03568,36.234,0.188455,-0.125294,1,35.97923240803094,0.2547675919690633,-0.00447048992,"(0.0333, 0.0439]"
0.03576,35.9591,0.225173,0.092859,1,35.98422347970559,-0.025123479705591478,0.00332063784,"(0.0333, 0.0439]"
0.03583,35.9325,0.204232,0.031814,1,35.98858173858585,-0.05608173858585275,0.00113989562,"(0.0333, 0.0439]"
0.03585,35.5515,0.204326,-0.007576,1,35.989825429587,-0.43832542958700316,-0.0002715996,"(0.0333, 0.0439]"
0.03599,35.9909,0.187185,-0.120564,1,35.9985123594802,-0.0076123594801984495,-0.004339098360000001,"(0.0333, 0.0439]"
0.03616,35.8586,0.223482,-0.070943,1,36.009016562766824,-0.15041656276682147,-0.00256529888,"(0.0333, 0.0439]"
0.03624,36.1845,0.187245,-0.047187,1,36.01394305908003,0.17055694091997253,-0.0017100568800000001,"(0.0333, 0.0439]"
0.03682,35.9282,0.1566,-0.0755,1,36.04934612754288,-0.121146127542886,-0.00277991,"(0.0333, 0.0439]"
0.03682,35.8836,0.185109,-0.090516,1,36.04934612754288,-0.16574612754288154,-0.00333279912,"(0.0333, 0.0439]"
0.03705,35.9637,0.166565,-0.099791,1,36.06323489912448,-0.09953489912447822,-0.0036972565500000003,"(0.0333, 0.0439]"
0.03707,36.0475,0.166339,-0.047118,1,36.06443864283816,-0.01693864283816282,-0.00174666426,"(0.0333, 0.0439]"
0.03725,36.0067,0.135213,-0.042863,1,36.07524393264368,-0.06854393264367786,-0.0015966467499999998,"(0.0333, 0.0439]"
0.03725,35.9927,0.149174,-0.030117,1,36.07524393264368,-0.08254393264368076,-0.00112185825,"(0.0333, 0.0439]"
0.0373,35.8698,0.18969,0.016022,1,36.07823636918921,-0.20843636918921504,0.0005976206000000001,"(0.0333, 0.0439]"
0.0374,35.9789,0.163683,-0.096867,1,36.08420952960545,-0.10530952960544937,-0.0036228258,"(0.0333, 0.0439]"
0.03753,35.949,0.262609,0.056405,1,36.09195140700502,-0.14295140700502174,0.00211687965,"(0.0333, 0.0439]"
0.03756,36.3333,0.171248,-0.104639,1,36.0937342818863,0.23956571811370253,-0.00393024084,"(0.0333, 0.0439]"
