target,obs_id,instrument,filter,mjd,proposal
J0959,hst_skycell-p1449x10y03_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56450.17614983,--
J0959,j9c704010,ACS/WFC,F555W,53681.610654247685,10494
J0959,j9c704020,ACS/WFC,F814W,53681.67930019676,10494
J0959,n9c7a4010,NICMOS/NIC2,F160W,53681.79583128472,10494
J0959,ibzi18010,WFC3/UVIS,F390W,56450.19237650463,12898
J0959,j93i18j4q,ACS/WFC,F435W,53297.8861568287,10174
J0959,j93i18j5q,ACS/WFC,F814W,53297.89284684028,10174
J1430,hst_10886_36_acs_wfc_f814w_j9op36,ACS/WFC,F814W,54087.09103334,10886
J1430,hst_11202_45_wfpc2_pc_f606w_ua1l45,WFPC2/PC,F606W,54539.74464485,11202
J1430,hst_11202_99_wfc3_ir_f160w_ia1l99,WFC3/IR,F160W,55387.46066889,11202
J1430,hst_12898_19_wfc3_uvis_f390w_ibzi19,WFC3/UVIS,F390W,56414.97956369,12898
J1430,hst_12898_20_wfc3_uvis_f390w_ibzi20,WFC3/UVIS,F390W,56417.62745702,12898
J1430,hst_skycell-p2198x10y07_acs_wfc_f814w_all,ACS/WFC,F814W,54087.09899631,--
J1430,hst_skycell-p2198x10y07_wfc3_ir_f160w_all,WFC3/IR,F160W,55387.46066889,--
J1430,hst_skycell-p2198x10y07_wfc3_ir_f160w_coarse-all,WFC3/IR,F160W,55387.46066889,--
J1430,hst_skycell-p2198x10y07_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56414.97956369,--
J1430,ia1l99010,WFC3/IR,F160W,55387.460668900465,11202
J1430,j9op36010,ACS/WFC,F814W,54087.09103333333,10886
J1430,hst_skycell-p2198x09y07_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56414.97956369,--
J1430,hst_skycell-p2198x09y07_acs_wfc_f814w_all,ACS/WFC,F814W,54087.09899631,--
J1430,hst_skycell-p2198x09y07_wfc3_ir_f160w_all,WFC3/IR,F160W,55387.46066889,--
J1430,hst_skycell-p2198x09y07_wfc3_ir_f160w_coarse-all,WFC3/IR,F160W,55387.46066889,--
J1430,ibzi19010,WFC3/UVIS,F390W,56414.979563692126,12898
J1430,ibzi20010,WFC3/UVIS,F390W,56417.62745702546,12898
J1430,ua1l4503m,WFPC2/PC,F606W,54539.80853376158,11202
J1430,ua1l4502m,WFPC2/PC,F606W,54539.761311539354,11202
J1430,ua1l4504m,WFPC2/PC,F606W,54539.82520042824,11202
J1430,ua1l4501m,WFPC2/PC,F606W,54539.744644872684,11202
J1627,hst_10174_41_acs_wfc_f435w_j93i41,ACS/WFC,F435W,53449.95545107,10174
J1627,hst_10174_41_acs_wfc_f814w_j93i41,ACS/WFC,F814W,53449.96214165,10174
J1627,hst_10494_01_acs_wfc_f555w_j9c701,ACS/WFC,F555W,53806.39563491,10494
J1627,hst_10494_01_acs_wfc_f814w_j9c701,ACS/WFC,F814W,53806.53318121,10494
J1627,hst_12898_21_wfc3_uvis_f390w_ibzi21,WFC3/UVIS,F390W,56459.63097612,12898
J1627,hst_12898_22_wfc3_uvis_f390w_ibzi22,WFC3/UVIS,F390W,56459.70646242,12898
J1627,hst_12898_23_wfc3_uvis_f390w_ibzi23,WFC3/UVIS,F390W,56459.84752686,12898
J1627,hst_skycell-p1294x15y16_acs_wfc_f435w_all,ACS/WFC,F435W,53449.95545107,--
J1627,hst_skycell-p1294x15y16_acs_wfc_f555w_all,ACS/WFC,F555W,53806.39563491,--
J1627,hst_skycell-p1294x15y16_acs_wfc_f814w_all,ACS/WFC,F814W,53449.96214165,--
J1627,hst_skycell-p1294x15y16_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56459.63097612,--
J1627,j9c701010,ACS/WFC,F555W,53806.39563491898,10494
J1627,j9c701020,ACS/WFC,F814W,53806.53318121528,10494
J1627,n9c7a1010,NICMOS/NIC2,F160W,53806.65774306,10494
J1627,ic6m7na1q,WFC3/UVIS,F390W,56460.02088738426,13074
J1627,ibzi21010,WFC3/UVIS,F390W,56459.63097612269,12898
J1627,ibzi22010,WFC3/UVIS,F390W,56459.70646241898,12898
J1627,ibzi23010,WFC3/UVIS,F390W,56459.85564059028,12898
J1627,j93i41dmq,ACS/WFC,F435W,53449.95545107639,10174
J1627,j93i41dnq,ACS/WFC,F814W,53449.96214166666,10174
J1627,hst_skycell-p1294x16y16_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56459.63097612,--
J1630,hst_10174_42_acs_wfc_f435w_j93i42,ACS/WFC,F435W,53282.89289269,10174
J1630,hst_10174_42_acs_wfc_f814w_j93i42,ACS/WFC,F814W,53282.89958232,10174
J1630,hst_10494_06_acs_wfc_f555w_j9c706,ACS/WFC,F555W,53685.41142982,10494
J1630,hst_10494_06_acs_wfc_f814w_j9c706,ACS/WFC,F814W,53685.47880241,10494
J1630,hst_12898_24_wfc3_uvis_f390w_ibzi24,WFC3/UVIS,F390W,56459.52050168,12898
J1630,hst_12898_25_wfc3_uvis_f390w_ibzi25,WFC3/UVIS,F390W,56467.67454156,12898
J1630,hst_12898_26_wfc3_uvis_f390w_ibzi26,WFC3/UVIS,F390W,56467.74966897,12898
J1630,hst_12898_27_wfc3_uvis_f390w_ibzi27,WFC3/UVIS,F390W,56456.92133501,12898
J1630,hst_12898_28_wfc3_uvis_f390w_ibzi28,WFC3/UVIS,F390W,56457.06214501,12898
J1630,hst_skycell-p2269x11y08_acs_wfc_f435w_all,ACS/WFC,F435W,53282.89289269,--
J1630,hst_skycell-p2269x11y08_acs_wfc_f555w_all,ACS/WFC,F555W,53685.41142982,--
J1630,hst_skycell-p2269x11y08_acs_wfc_f814w_all,ACS/WFC,F814W,53282.89958232,--
J1630,hst_skycell-p2269x11y08_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56456.92133501,--
J1630,j9c706010,ACS/WFC,F555W,53685.41142982639,10494
J1630,j9c706020,ACS/WFC,F814W,53685.47880239583,10494
J1630,n9c7a6010,NICMOS/NIC2,F160W,53685.60681713,10494
J1630,ibzi24010,WFC3/UVIS,F390W,56459.52050170139,12898
