Bmax,lambda0_m,bias_opt,bias_ir,bias_cmb,cmb_minus_opt
0.05,0.01,3.8087843989842446e-11,4.484400240034603e-10,0.0016218581250846632,0.0016218580869968191
0.1,1e-07,0.09999999999999326,0.1,0.1,6.744604874597826e-15
0.1,1.059560179277617e-07,0.09999999999977625,0.1,0.1,2.2375157282539249e-13
0.1,1.1226677735108136e-07,0.09999999999505094,0.1,0.1,4.949068932447176e-12
0.1,1.1895340673703207e-07,0.09999999992343075,0.1,0.1,7.656925093968425e-11
0.1,1.2603829296797274e-07,0.09999999913646322,0.1,0.1,8.635367837461772e-10
0.1,1.3354515629299e-07,0.09999999263704866,0.1,0.1,7.3629513458461915e-09
0.1,1.4149912974345758e-07,0.09999995097846741,0.1,0.1,4.90215325971155e-08
0.1,1.499268432786047e-07,0.09999973776736608,0.1,0.1,2.6223263392688434e-07
0.1,1.5885651294280528e-07,0.09999884409775739,0.1,0.1,1.1559022426166354e-06
0.1,1.6831803533309585e-07,0.09999570667840653,0.1,0.1,4.293321593476507e-06
0.1,1.7834308769319093e-07,0.09998629474656122,0.1,0.1,1.3705253438786591e-05
0.1,1.8896523396912115e-07,0.09996173561899006,0.1,0.1,3.8264381009942006e-05
0.1,2.0022003718155845e-07,0.09990510736098582,0.1,0.1,9.489263901418798e-05
0.1,2.121451784910632e-07,0.09978809482013773,0.1,0.1,0.0002119051798622762
0.1,2.2478058335487253e-07,0.09956870235327263,0.1,0.1,0.00043129764672737714
0.1,2.3816855519761606e-07,0.09919129947372685,0.1,0.1,0.0008087005262731595
0.1,2.523539170434766e-07,0.09858978425874965,0.1,0.1,0.001410215741250359
0.1,2.673841615839949e-07,0.09769374133710716,0.1,0.1,0.0023062586628928433
0.1,2.833096101839324e-07,0.09643653360532377,0.1,0.1,0.0035634663946762374
0.1,3.0018358135755923e-07,0.09476368586010729,0.09999999999999992,0.1,0.005236314139892714
0.1,3.180625692794119e-07,0.09263988258403105,0.09999999999999544,0.1,0.007360117415968953
0.1,3.370064329271932e-07,0.09005334940148262,0.09999999999984195,0.1,0.00994665059851739
0.1,3.5707859649004626e-07,0.0870170902711973,0.09999999999636094,0.1,0.0129829097288027
0.1,3.783462617131933e-07,0.08356715106611012,0.09999999994166457,0.1,0.016432848933889882
0.1,4.008806328898465e-07,0.07975858861570546,0.09999999932111943,0.1,0.02024141138429454
0.1,4.247571552536903e-07,0.07566006853752633,0.09999999404851766,0.1,0.02433993146247368
