short,base_name,target_name,obs_id,proposal_id,filters,instrument,t_exptime,dataURL
J0956,SDSS-J095629.78+510006.6,mv-247,hlsp_skysurf_hst_acs-wfc_mv-247_f435w,10174,CLEAR1L;F435W,ACS/WFC,420.0,mast:HLSP/skysurf/drizzled_images/multi-visit/sci/hlsp_skysurf_hst_acs-wfc_mv-247_f435w_v1_drz-sci.fits.gz
J0956,SDSS-J095629.78+510006.6,mv-33,hlsp_skysurf_hst_acs-wfc_mv-33_f555w,10494,CLEAR2L;F555W,ACS/WFC,2380.0,mast:HLSP/skysurf/drizzled_images/multi-visit/sci/hlsp_skysurf_hst_acs-wfc_mv-33_f555w_v1_drz-sci.fits.gz
J0956,SDSS-J095629.78+510006.6,0902-52409-068,hst_10174_45_acs_wfc_f435w,10174,F435W,ACS/WFC,420.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10174_45_acs_wfc_f435w_drz.fits
J0956,SDSS-J095629.78+510006.6,0902-52409-068,hst_10174_45_acs_wfc_f814w,10174,F814W,ACS/WFC,420.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10174_45_acs_wfc_f814w_drz.fits
J0956,SDSS-J095629.78+510006.6,0902-52409-068,hst_10174_45_acs_wfc_f814w_f435w,10174,F814W;F435W,ACS/WFC,840.0,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10174_45_acs_wfc_f814w&amp;blue=hst_10174_45_acs_wfc_f435w&amp;size=ALL&amp;format=fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,hst_10494_14_acs_wfc_f555w,10494,F555W,ACS/WFC,2380.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10494_14_acs_wfc_f555w_drz.fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,hst_10494_14_acs_wfc_f814w,10494,F814W,ACS/WFC,2440.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10494_14_acs_wfc_f814w_drz.fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,hst_10494_14_acs_wfc_f814w_f555w,10494,F814W;F555W,ACS/WFC,4820.0,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10494_14_acs_wfc_f814w&amp;blue=hst_10494_14_acs_wfc_f555w&amp;size=ALL&amp;format=fits
J0956,SDSS-J095629.78+510006.6,SDSS-J095629.78+510006.6,hst_12898_16_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2292.0,--
J0956,SDSS-J095629.78+510006.6,SDSS-J095629.78+510006.6,hst_12898_17_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2292.0,--
J0959,SDSS-J095944.07+041017.0,0572-52289-495,hst_10174_18_acs_wfc_f435w_j93i18,10174,F435W,ACS/WFC,420.0,mast:HST/product/hst_10174_18_acs_wfc_f435w_j93i18_drc.fits
J0959,SDSS-J095944.07+041017.0,0572-52289-495,hst_10174_18_acs_wfc_f814w_j93i18,10174,F814W,ACS/WFC,420.0,mast:HST/product/hst_10174_18_acs_wfc_f814w_j93i18_drc.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_10494_04_acs_wfc_f555w_j9c704,10494,F555W,ACS/WFC,2160.0,mast:HST/product/hst_10494_04_acs_wfc_f555w_j9c704_drc.fits
J0959,SDSS-J095944.07+041017.0,GAL-0572-52289-495,hst_10494_04_acs_wfc_f814w_j9c704,10494,F814W,ACS/WFC,2224.0,mast:HST/product/hst_10494_04_acs_wfc_f814w_j9c704_drc.fits
J0959,SDSS-J095944.07+041017.0,SDSS-J095944.07+041017.0,hst_12898_18_wfc3_uvis_f390w_ibzi18,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_12898_18_wfc3_uvis_f390w_ibzi18_drc.fits
