intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID,wave_min,wave_max
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J091205.31+002901.1,GALAXY;GRAVITATIONAL LENS,ibzi15010,138.022125,0.4836666666667,image,"Koopmans, Leon",3,56429.3731977662,56429.40412349537,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56794.5783564,12898,GO,--,POLYGON 138.04810806 0.48110426 138.04806688101056 0.48108875511929966 138.04806001 0.48110402 138.00562823 0.46512727 138.0056394667788 0.46510230632632082 138.00562394 0.46509646 138.01493525 0.44441035 138.01497642883027 0.44442585511496441 138.0149833 0.44441059 138.05741498 0.46038728 138.057403739518 0.4604122524015648 138.05741927 0.4604181 138.04810806 0.48110426 138.04810806 0.48110426,mast:HST/product/ibzi15010_drz.jpg,mast:HST/product/ibzi15010_drz.fits,PUBLIC,False,,24808081,923907453,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J095629.78+510006.6,GALAXY;GRAVITATIONAL LENS,ibzi16010,149.1240833333,51.00183333333,image,"Koopmans, Leon",3,56551.04116380787,56551.0722746875,2292.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56916.20459494,12898,GO,--,POLYGON 149.16846518 51.03034958 149.16839707870722 51.030359784226867 149.16840161 51.03037628 149.09825808 51.04086311 149.0982507127668 51.040836143310543 149.09822506 51.04083997 149.09211998 51.01848228 149.09218803085221 51.018472127512666 149.09218352 51.0184556 149.16229454 51.00797243 149.16230194114752 51.007999399625142 149.16232763 51.00799555 149.16846518 51.03034958 149.16846518 51.03034958,mast:HST/product/ibzi16010_drz.jpg,mast:HST/product/ibzi16010_drz.fits,PUBLIC,False,,24808082,923907478,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J095629.78+510006.6,GALAXY;GRAVITATIONAL LENS,ibzi17010,149.1240833333,51.00183333333,image,"Koopmans, Leon",3,56551.10757600694,56551.138686921295,2292.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56916.27119209,12898,GO,--,POLYGON 149.16846518 51.03034958 149.16839707870722 51.030359784226867 149.16840161 51.03037628 149.09825808 51.04086311 149.0982507127668 51.040836143310543 149.09822506 51.04083997 149.09211998 51.01848228 149.09218803085221 51.018472127512666 149.09218352 51.0184556 149.16229454 51.00797243 149.16230194114752 51.007999399625142 149.16232763 51.00799555 149.16846518 51.03034958 149.16846518 51.03034958,mast:HST/product/ibzi17010_drz.jpg,mast:HST/product/ibzi17010_drz.fits,PUBLIC,False,,24808083,923907551,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J095944.07+041017.0,GALAXY;GRAVITATIONAL LENS,ibzi18010,149.933625,4.171388888889,image,"Koopmans, Leon",3,56450.19237650463,56450.19896223379,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56815.38725688,12898,GO,--,POLYGON 149.96898237 4.14807253 149.95966898 4.16876855 149.91711018 4.15283568 149.9264245 4.13214016 149.96898237 4.14807253 149.96898237 4.14807253,mast:HST/product/ibzi18010_drz.jpg,mast:HST/product/ibzi18010_drz.fits,PUBLIC,False,,24808084,923907658,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J143004.10+410557.1,GALAXY;GRAVITATIONAL LENS,ibzi19010,217.5170833333,41.09919444444,image,"Koopmans, Leon",3,56414.979563692126,56415.052769409725,2272.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56780.15194435,12898,GO,--,POLYGON -142.46237954000003 41.07816963 -142.46243138030593 41.078189868737006 -142.46242243 41.07820518 -142.51584714 41.09904354 -142.51586177931696 41.099018462873211 -142.5158813 41.09902607 -142.52799920999996 41.07826088 -142.52794739737618 41.078240689312544 -142.52795634 41.07822536 -142.47454470000002 41.0573926 -142.47453005801233 41.057417665367183 -142.4745105 41.05741003 -142.46237954000003 41.07816963 -142.46237954000003 41.07816963,mast:HST/product/ibzi19010_drz.jpg,mast:HST/product/ibzi19010_drz.fits,PUBLIC,False,,24808085,923907671,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J143004.10+410557.1,GALAXY;GRAVITATIONAL LENS,ibzi20010,217.5170833333,41.09919444444,image,"Koopmans, Leon",3,56417.62745702546,56417.658336423614,2272.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56783.64365735,12898,GO,--,POLYGON -142.46237954000003 41.07816963 -142.46243138030593 41.078189868737006 -142.46242243 41.07820518 -142.51584714 41.09904354 -142.51586177931696 41.099018462873211 -142.5158813 41.09902607 -142.52799920999996 41.07826088 -142.52794739737618 41.078240689312544 -142.52795634 41.07822536 -142.47454470000002 41.0573926 -142.47453005801233 41.057417665367183 -142.4745105 41.05741003 -142.46237954000003 41.07816963 -142.46237954000003 41.07816963,mast:HST/product/ibzi20010_drz.jpg,mast:HST/product/ibzi20010_drz.fits,PUBLIC,False,,24808086,923907681,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J162746.44-005357.5,GALAXY;GRAVITATIONAL LENS,ibzi21010,246.9435416667,-0.8993333333333,image,"Koopmans, Leon",3,56459.63097612269,56459.661901851854,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56824.77706009,12898,GO,--,POLYGON -113.07599386999999 -0.93412557 -113.03066767000001 -0.9328331 -113.03067016688537 -0.93280584307615311 -113.03065358000003 -0.93280537 -113.03272297000001 -0.910215 -113.03276696252557 -0.91021625468645717 -113.03276848999997 -0.91019958 -113.0780944 -0.91149201 -113.07809190255328 -0.911519277123681 -113.07810848999998 -0.91151975 -113.07603938 -0.93411015 -113.07599539720377 -0.93410889612040782 -113.07599386999999 -0.93412557 -113.07599386999999 -0.93412557,mast:HST/product/ibzi21010_drz.jpg,mast:HST/product/ibzi21010_drz.fits,PUBLIC,False,,24808087,923907704,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J163028.16+452036.2,GALAXY;GRAVITATIONAL LENS,ibzi27010,247.6172916667,45.34341666667,image,"Koopmans, Leon",3,56456.92133503472,56456.996450729166,2284.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56822.05599531,12898,GO,--,POLYGON -112.36255762999997 45.30358591 -112.36254901697947 45.303612614363331 -112.36252636 45.30360793 -112.35538822000001 45.32573063 -112.35544827604663 45.325743045890121 -112.35544300999999 45.32575936 -112.41732367999998 45.33853289 -112.41733227708491 45.338506167306925 -112.41735489999996 45.33851083 -112.42447044 45.31638429 -112.42441043969066 45.316371922832772 -112.42441568999999 45.31635559 -112.36255762999997 45.30358591 -112.36255762999997 45.30358591,mast:HST/product/ibzi27010_drz.jpg,mast:HST/product/ibzi27010_drz.fits,PUBLIC,False,,24808093,923907854,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J163028.16+452036.2,GALAXY;GRAVITATIONAL LENS,ibzi28010,247.6172916667,45.34341666667,image,"Koopmans, Leon",3,56457.06214502315,56457.14235332176,2284.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56822.34672455,12898,GO,--,POLYGON -112.36255762999997 45.30358591 -112.36254901697947 45.303612614363331 -112.36252636 45.30360793 -112.35538822000001 45.32573063 -112.35544827604664 45.325743045890121 -112.35544300999999 45.32575936 -112.41732367999998 45.33853289 -112.41733227708491 45.338506167306925 -112.41735489999996 45.33851083 -112.42447044 45.31638429 -112.42441043969069 45.316371922832772 -112.42441568999999 45.31635559 -112.36255762999997 45.30358591 -112.36255762999997 45.30358591,mast:HST/product/ibzi28010_drz.jpg,mast:HST/product/ibzi28010_drz.fits,PUBLIC,False,,24808094,923907910,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J234111.57+000018.6,GALAXY;GRAVITATIONAL LENS,ibzi29010,355.2982083333,0.005194444444444,image,"Koopmans, Leon",3,56440.27169390046,56440.34442519676,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56805.5797453,12898,GO,--,POLYGON -4.70327025000006 0.02993427 -4.70328019098451 0.02993803968439766 -4.7032551899999362 0.02999324 -4.7244663399999354 0.03803664 -4.7244844956043375 0.037996553757883168 -4.72450015000004 0.03800249 -4.7432055300000684 -0.00329763 -4.743179934634087 -0.0033073359271945015 -4.7431867799999736 -0.00332245 -4.7219756399999824 -0.01136585 -4.70327025000006 0.02993427 -4.70327025000006 0.02993427,mast:HST/product/ibzi29010_drz.jpg,mast:HST/product/ibzi29010_drz.fits,PUBLIC,False,,24808095,923907936,331.2,443.0
