sim,C390,C814,ratio,C814_gt_C390
187,0.07698914096135864,0.07989449818763877,1.037737233978729,True
188,0.2861684804095607,0.30978982768031726,1.0825434975820887,True
189,0.10409904886588522,0.10941845275744694,1.0510994475887565,True
190,0.1477870282765176,0.15509381801787178,1.0494413469609984,True
191,0.18848031777408394,0.2033672303955014,1.0789839108784884,True
192,0.20126877639025886,0.21419396432220028,1.06421854479246,True
193,0.2346574832922479,0.22951621239552653,0.9780903177491327,False
194,0.33716426692718865,0.34572161237645677,1.0253803450978276,True
195,0.20687874864446032,0.2182458002031328,1.0549454771606714,True
196,0.1908163525031617,0.2046582850463058,1.0725405991759263,True
197,0.3278424532934616,0.3345986025511754,1.0206079145328568,True
198,0.41915720995002553,0.4343535567656113,1.0362545280263642,True
199,0.2433838633293038,0.2580284241265775,1.060170631680126,True
200,0.31172271207622304,0.32179559084116477,1.0323135863211619,True
201,0.14602348132452794,0.15516080665668985,1.0625743561876517,True
202,0.15614476115163012,0.1505983618123093,0.964479119898651,False
203,0.14432051559043443,0.14934880334859021,1.0348411155377626,True
204,0.1755740684676867,0.18171923045413604,1.0350003963573944,True
205,0.286223548650876,0.3044912585587832,1.0638232248674597,True
206,0.12918233661729298,0.14655668225852114,1.134494746698229,True
207,0.19568911833105432,0.19664508653129475,1.0048851372441834,True
208,0.25168623065690243,0.2545273756665567,1.0112884403816564,True
209,0.0781743723570577,0.08681018142264657,1.1104685436570598,True
210,0.24869452586322577,0.2625691956768573,1.0557900089094128,True
211,0.2739780774879279,0.29646744152441246,1.0820845384517142,True
212,0.17017295206702002,0.18407881967139753,1.081716086108096,True
213,0.17480541203797043,0.1881573464408764,1.0763816992119541,True
214,0.22462910861127,0.23552963303644195,1.0485267670452976,True
215,0.13380912299612358,0.15166896887972095,1.1334725576529994,True
216,0.13182194179110973,0.13970289092781868,1.0597848053945178,True
217,0.11100925334042998,0.10760543881233837,0.9693375603774832,False
218,0.16832401111601925,0.16319095082884222,0.9695048837468648,False
219,0.25514825962568893,0.28672386830213226,1.123753964548948,True
220,0.2063943661531944,0.21972753135142473,1.0646004319145703,True
221,0.23417840258373596,0.2438828499056523,1.0414404027649231,True
222,0.272965383382016,0.28505927513727475,1.0443055877833907,True
223,0.15936317486250737,0.16333441799893758,1.0249194529404704,True
224,0.1004561448774449,0.10422771159781453,1.037544410299349,True
